MSTRG.2335.3	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_001164441	2+0-	4. PRJNA281134_4|4. PRJNA281134_3
NM_177038	0+2-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
MSTRG.14721.1	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.9479.5	1+1-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
MSTRG.10377.1	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_001282128	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.10918.6	1+1-	4. PRJNA281134_4|5. PRJNA322593 o PRJNA323485_9
MSTRG.19279.1	1+1-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
NM_011508	1+1-	multi_mus_PRJNA398031_4|mus_PRJNA293822_27
MSTRG.169.1	0+2-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.3101.1	2+0-	4. PRJNA281134_4|5. PRJNA322593 o PRJNA323485_9
MSTRG.7493.4	2+0-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
MSTRG.128.10	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_001290818	0+2-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_028806	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_027654	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_145595	0+2-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
NM_007743	0+2-	4. PRJNA281134_3|5. PRJNA322593 o PRJNA323485_9
NM_021505	0+2-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
NM_023524	0+2-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
NM_133953	0+2-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_001177308	1+1-	4. PRJNA281134_4|mus_PRJNA293822_27
MSTRG.15484.1	1+1-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_145538	1+1-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
MSTRG.3832.4	1+1-	4. PRJNA281134_4|4. PRJNA281134_3
NM_001037755	0+2-	4. PRJNA281134_3|5. PRJNA322593 o PRJNA323485_9
MSTRG.7327.8	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_018804	0+2-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
NM_134071	1+1-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
MSTRG.47.12	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_172882	0+2-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
MSTRG.21789.1	0+2-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.6295.1	1+1-	4. PRJNA281134_4|5. PRJNA322593 o PRJNA323485_10
NR_037854	1+1-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
NM_001085521	1+1-	4. PRJNA281134_4|9.PRJNA322294_5
MSTRG.9955.6	1+1-	4. PRJNA281134_4|4. PRJNA281134_3
MSTRG.4004.5	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_001289521	1+1-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
NM_011739	1+1-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_010630	0+2-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
NM_001146183	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_025551	1+1-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
MSTRG.8294.1	1+1-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_001159672	0+2-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
NM_175028	0+2-	4. PRJNA281134_4|multi_mus_PRJNA398031_4
MSTRG.14117.1	0+2-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
NM_172745	0+2-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_10
NM_001302214	2+0-	5. PRJNA322593 o PRJNA323485_9|5. PRJNA322593 o PRJNA323485_10
MSTRG.23055.1	2+0-	multi_mus_PRJNA398031_4|mus_PRJNA293822_27
MSTRG.10511.1	2+0-	multi_mus_PRJNA398031_4|5. PRJNA322593 o PRJNA323485_9
NM_198831	1+1-	multi_mus_PRJNA398031_4|9.PRJNA322294_5
NM_028027	0+2-	multi_mus_PRJNA398031_4|4. PRJNA281134_3
MSTRG.13570.9	0+1-	4. PRJNA281134_4
MSTRG.7582.6	0+1-	4. PRJNA281134_3
NM_009847	0+1-	multi_mus_PRJNA398031_4
NM_001193266	0+1-	multi_mus_PRJNA398031_4
MSTRG.2731.4	1+0-	4. PRJNA281134_3
MSTRG.3817.2	1+0-	4. PRJNA281134_4
MSTRG.9622.3	1+0-	4. PRJNA281134_4
MSTRG.28153.2	1+0-	multi_mus_PRJNA398031_4
MSTRG.8645.2	0+1-	5. PRJNA322593 o PRJNA323485_10
MSTRG.20259.1	0+1-	4. PRJNA281134_4
NM_030559	0+1-	multi_mus_PRJNA398031_4
MSTRG.5462.2	0+1-	multi_mus_PRJNA398031_4
NM_026386	0+1-	multi_mus_PRJNA398031_4
NM_178739	1+0-	multi_mus_PRJNA398031_4
MSTRG.21802.1	0+1-	5. PRJNA322593 o PRJNA323485_9
NM_001146012	0+1-	multi_mus_PRJNA398031_4
MSTRG.6274.1	0+1-	4. PRJNA281134_4
MSTRG.23147.7	1+0-	multi_mus_PRJNA398031_4
MSTRG.405.2	0+1-	4. PRJNA281134_4
NM_001007574	1+0-	multi_mus_PRJNA398031_4
MSTRG.5121.1	1+0-	multi_mus_PRJNA398031_4
NM_178764	0+1-	5. PRJNA322593 o PRJNA323485_10
MSTRG.18283.2	1+0-	4. PRJNA281134_3
MSTRG.6672.2	1+0-	4. PRJNA281134_4
MSTRG.22428.1	1+0-	multi_mus_PRJNA398031_4
MSTRG.19818.1	1+0-	5. PRJNA322593 o PRJNA323485_9
NM_029250	1+0-	multi_mus_PRJNA398031_4
MSTRG.7204.4	1+0-	4. PRJNA281134_4
MSTRG.4083.1	1+0-	multi_mus_PRJNA398031_4
MSTRG.28857.1	1+0-	multi_mus_PRJNA398031_4
MSTRG.297.1	1+0-	multi_mus_PRJNA398031_4
MSTRG.22112.1	1+0-	multi_mus_PRJNA398031_4
NM_013608	0+1-	multi_mus_PRJNA398031_4
MSTRG.809.1	1+0-	multi_mus_PRJNA398031_4
NM_021551	1+0-	5. PRJNA322593 o PRJNA323485_10
NM_021567	1+0-	4. PRJNA281134_3
MSTRG.2237.2	0+1-	multi_mus_PRJNA398031_4
MSTRG.21092.2	1+0-	5. PRJNA322593 o PRJNA323485_9
MSTRG.3954.1	1+0-	multi_mus_PRJNA398031_4
MSTRG.19355.1	0+1-	multi_mus_PRJNA398031_4
MSTRG.33469.1	1+0-	multi_mus_PRJNA398031_4
NM_001142948	0+1-	multi_mus_PRJNA398031_4
MSTRG.28439.1	1+0-	multi_mus_PRJNA398031_4
MSTRG.13948.1	1+0-	multi_mus_PRJNA398031_4
MSTRG.8191.6	1+0-	multi_mus_PRJNA398031_4
MSTRG.31246.1	1+0-	multi_mus_PRJNA398031_4
MSTRG.434.4	1+0-	multi_mus_PRJNA398031_4
MSTRG.30764.4	0+1-	multi_mus_PRJNA398031_4
MSTRG.26971.2	1+0-	multi_mus_PRJNA398031_4
NM_013531	0+1-	multi_mus_PRJNA398031_4
NM_011817	1+0-	4. PRJNA281134_4
MSTRG.13149.6	0+1-	4. PRJNA281134_4
MSTRG.8943.1	0+1-	4. PRJNA281134_3
MSTRG.4778.1	1+0-	9.PRJNA322294_5
MSTRG.12151.11	1+0-	4. PRJNA281134_4
MSTRG.82.1	1+0-	5. PRJNA322593 o PRJNA323485_9
MSTRG.21199.5	0+1-	4. PRJNA281134_3
MSTRG.23076.4	1+0-	4. PRJNA281134_4
NM_028964	1+0-	4. PRJNA281134_4
MSTRG.4831.2	1+0-	multi_mus_PRJNA398031_4
MSTRG.4962.4	0+1-	4. PRJNA281134_3
NM_183294	1+0-	4. PRJNA281134_3
NM_008512	0+1-	multi_mus_PRJNA398031_4
MSTRG.31206.71	0+1-	multi_mus_PRJNA398031_4
MSTRG.18698.3	1+0-	4. PRJNA281134_4
MSTRG.15287.4	0+1-	multi_mus_PRJNA398031_4
MSTRG.20444.1	1+0-	4. PRJNA281134_3
MSTRG.20795.1	1+0-	multi_mus_PRJNA398031_4
MSTRG.6942.4	1+0-	9.PRJNA322294_5
NM_013880	1+0-	multi_mus_PRJNA398031_4
MSTRG.23648.7	0+1-	multi_mus_PRJNA398031_4
MSTRG.12676.3	1+0-	multi_mus_PRJNA398031_4
NM_001081013	1+0-	multi_mus_PRJNA398031_4
NM_133926	0+1-	multi_mus_PRJNA398031_4
MSTRG.16919.4	0+1-	multi_mus_PRJNA398031_4
NR_104611	1+0-	9.PRJNA322294_5
MSTRG.16939.1	1+0-	multi_mus_PRJNA398031_4
NM_001170669	0+1-	multi_mus_PRJNA398031_4
MSTRG.16430.1	0+1-	mus_PRJNA293822_27
MSTRG.4275.8	1+0-	multi_mus_PRJNA398031_4
MSTRG.18578.1	0+1-	multi_mus_PRJNA398031_4
MSTRG.1001.1	1+0-	multi_mus_PRJNA398031_4
MSTRG.20721.1	1+0-	multi_mus_PRJNA398031_4
NM_145425	0+1-	multi_mus_PRJNA398031_4
MSTRG.18416.5	0+1-	9.PRJNA322294_5
MSTRG.33835.1	1+0-	multi_mus_PRJNA398031_4
MSTRG.34562.1	1+0-	multi_mus_PRJNA398031_4
MSTRG.7527.1	0+1-	5. PRJNA322593 o PRJNA323485_10
NM_133900	0+1-	multi_mus_PRJNA398031_4
MSTRG.19039.2	0+1-	5. PRJNA322593 o PRJNA323485_10
NM_001081079	1+0-	multi_mus_PRJNA398031_4
MSTRG.8738.3	0+1-	4. PRJNA281134_4
MSTRG.9039.1	0+1-	5. PRJNA322593 o PRJNA323485_9
MSTRG.8614.1	0+1-	4. PRJNA281134_4
NM_027436	0+1-	multi_mus_PRJNA398031_4
MSTRG.22324.4	0+1-	multi_mus_PRJNA398031_4
NM_009451	0+1-	multi_mus_PRJNA398031_4
NM_010698	0+1-	9.PRJNA322294_5
NM_016972	0+1-	multi_mus_PRJNA398031_4
NM_009548	0+1-	multi_mus_PRJNA398031_4
MSTRG.22164.4	1+0-	mus_PRJNA293822_27
MSTRG.1128.5	1+0-	5. PRJNA322593 o PRJNA323485_9
MSTRG.7457.7	1+0-	5. PRJNA322593 o PRJNA323485_10
MSTRG.16885.1	1+0-	5. PRJNA322593 o PRJNA323485_9
MSTRG.20088.6	0+1-	multi_mus_PRJNA398031_4
NM_001290441	1+0-	4. PRJNA281134_4
NM_001113354	1+0-	multi_mus_PRJNA398031_4
MSTRG.17446.1	1+0-	5. PRJNA322593 o PRJNA323485_10
MSTRG.33469.3	0+1-	multi_mus_PRJNA398031_4
NM_025454	0+1-	multi_mus_PRJNA398031_4
MSTRG.8147.2	0+1-	4. PRJNA281134_4
MSTRG.19475.1	1+0-	5. PRJNA322593 o PRJNA323485_9
NM_007619	0+1-	multi_mus_PRJNA398031_4
MSTRG.2112.6	0+1-	4. PRJNA281134_3
MSTRG.22878.2	1+0-	multi_mus_PRJNA398031_4
NM_018745	0+1-	multi_mus_PRJNA398031_4
MSTRG.7091.4	0+1-	multi_mus_PRJNA398031_4
NM_013677	0+1-	multi_mus_PRJNA398031_4
MSTRG.15901.2	1+0-	4. PRJNA281134_3
MSTRG.25006.1	1+0-	multi_mus_PRJNA398031_4
MSTRG.7610.6	0+1-	4. PRJNA281134_3
MSTRG.15586.4	0+1-	9.PRJNA322294_5
MSTRG.13658.1	1+0-	multi_mus_PRJNA398031_4
NM_178670	0+1-	4. PRJNA281134_4
MSTRG.29686.1	0+1-	multi_mus_PRJNA398031_4
MSTRG.224.5	1+0-	4. PRJNA281134_4
MSTRG.16701.3	1+0-	4. PRJNA281134_4
NM_001164366	0+1-	multi_mus_PRJNA398031_4
NM_177111	0+1-	multi_mus_PRJNA398031_4
NM_001034863	1+0-	5. PRJNA322593 o PRJNA323485_9
NM_001205331	1+0-	multi_mus_PRJNA398031_4
NM_017404	0+1-	multi_mus_PRJNA398031_4
MSTRG.16202.8	1+0-	mus_PRJNA293822_27
NM_145426	0+1-	4. PRJNA281134_3
NM_025703	0+1-	multi_mus_PRJNA398031_4
MSTRG.14063.4	1+0-	multi_mus_PRJNA398031_4
NM_025427	0+1-	multi_mus_PRJNA398031_4
MSTRG.10511.11	1+0-	5. PRJNA322593 o PRJNA323485_9
NM_026418	0+1-	multi_mus_PRJNA398031_4
MSTRG.16758.1	1+0-	mus_PRJNA293822_27
NM_025366	0+1-	multi_mus_PRJNA398031_4
NM_001114334	0+1-	multi_mus_PRJNA398031_4
MSTRG.3491.1	1+0-	multi_mus_PRJNA398031_4
NM_028945	0+1-	multi_mus_PRJNA398031_4
MSTRG.15477.1	1+0-	5. PRJNA322593 o PRJNA323485_9
NM_008054	0+1-	multi_mus_PRJNA398031_4
MSTRG.8186.8	1+0-	mus_PRJNA293822_27
MSTRG.10681.6	1+0-	multi_mus_PRJNA398031_4
MSTRG.30562.2	0+1-	multi_mus_PRJNA398031_4
MSTRG.14204.1	1+0-	multi_mus_PRJNA398031_4
NM_001024856	0+1-	multi_mus_PRJNA398031_4
NM_009840	0+1-	multi_mus_PRJNA398031_4
NM_177103	0+1-	mus_PRJNA293822_27
MSTRG.11483.4	0+1-	4. PRJNA281134_4
MSTRG.896.2	0+1-	5. PRJNA322593 o PRJNA323485_9
NM_018755	1+0-	multi_mus_PRJNA398031_4
NM_009358	0+1-	multi_mus_PRJNA398031_4
MSTRG.15262.7	0+1-	4. PRJNA281134_4
NM_001039368	0+1-	4. PRJNA281134_4
MSTRG.19510.2	0+1-	9.PRJNA322294_5
NM_008323	1+0-	5. PRJNA322593 o PRJNA323485_10
MSTRG.6820.1	1+0-	multi_mus_PRJNA398031_4
NM_172771	1+0-	5. PRJNA322593 o PRJNA323485_10
NM_001276419	0+1-	multi_mus_PRJNA398031_4
MSTRG.20736.1	1+0-	multi_mus_PRJNA398031_4
MSTRG.26106.1	1+0-	multi_mus_PRJNA398031_4
MSTRG.2700.3	0+1-	5. PRJNA322593 o PRJNA323485_9
MSTRG.17843.8	1+0-	4. PRJNA281134_4
MSTRG.7478.5	0+1-	multi_mus_PRJNA398031_4
MSTRG.13015.1	0+1-	4. PRJNA281134_3
MSTRG.8238.1	1+0-	4. PRJNA281134_4
MSTRG.13045.3	1+0-	multi_mus_PRJNA398031_4
MSTRG.5250.8	0+1-	4. PRJNA281134_3
MSTRG.19736.1	0+1-	multi_mus_PRJNA398031_4
