MSTRG.20674	1+0-	multi_mus_PRJNA398031_4
MSTRG.10357	1+0-	multi_mus_PRJNA398031_4
Golim4	0+1-	multi_mus_PRJNA398031_4
MSTRG.16806	0+1-	4. PRJNA281134_3
Nqo2	0+1-	multi_mus_PRJNA398031_4
MSTRG.8018	0+1-	multi_mus_PRJNA398031_4
MSTRG.17751	0+1-	multi_mus_PRJNA398031_4
Eci3	0+1-	multi_mus_PRJNA398031_4
MSTRG.6222	1+0-	9.PRJNA322294_5
MSTRG.10052	1+0-	multi_mus_PRJNA398031_4
MSTRG.31692	1+0-	multi_mus_PRJNA398031_4
Ipo11	0+1-	multi_mus_PRJNA398031_4
Ap2m1	0+1-	multi_mus_PRJNA398031_4
MSTRG.9095	1+0-	4. PRJNA281134_4
Slc25a27	0+1-	multi_mus_PRJNA398031_4
Pbx1	0+1-	multi_mus_PRJNA398031_4
MSTRG.19427	1+0-	4. PRJNA281134_3
MSTRG.12404	1+0-	multi_mus_PRJNA398031_4
MSTRG.27316	0+1-	multi_mus_PRJNA398031_4
Nup205	0+1-	multi_mus_PRJNA398031_4
Cbx7	0+1-	multi_mus_PRJNA398031_4
MSTRG.20337	0+1-	multi_mus_PRJNA398031_4
MSTRG.10700	1+0-	multi_mus_PRJNA398031_4
MSTRG.6213	0+1-	4. PRJNA281134_3
MSTRG.16870	0+1-	9.PRJNA322294_5
Rgs6	0+1-	multi_mus_PRJNA398031_4
Pls3	0+1-	multi_mus_PRJNA398031_4
MSTRG.3446	0+1-	multi_mus_PRJNA398031_4
Ppdpf	0+1-	multi_mus_PRJNA398031_4
MSTRG.27242	1+0-	multi_mus_PRJNA398031_4
Inppl1	1+0-	multi_mus_PRJNA398031_4
MSTRG.13793	1+0-	multi_mus_PRJNA398031_4
Rnf185	0+1-	multi_mus_PRJNA398031_4
MSTRG.6606	1+0-	4. PRJNA281134_3
Cdkal1	1+0-	multi_mus_PRJNA398031_4
Ctdspl2	1+0-	mus_PRJNA293822_27
MSTRG.15027	1+0-	5. PRJNA322593 o PRJNA323485_9
Sec24c	1+0-	4. PRJNA281134_4
MSTRG.12706	0+1-	5. PRJNA322593 o PRJNA323485_9
MSTRG.34197	1+0-	multi_mus_PRJNA398031_4
MSTRG.2476	1+0-	multi_mus_PRJNA398031_4
Fam219b	0+1-	multi_mus_PRJNA398031_4
MSTRG.5149	0+1-	multi_mus_PRJNA398031_4
MSTRG.4852	0+1-	multi_mus_PRJNA398031_4
MSTRG.8821	0+1-	4. PRJNA281134_3
MSTRG.6069	1+0-	4. PRJNA281134_4
Hsd17b10	0+1-	multi_mus_PRJNA398031_4
Asb13	0+1-	multi_mus_PRJNA398031_4
MSTRG.23297	1+0-	multi_mus_PRJNA398031_4
MSTRG.3893	0+1-	mus_PRJNA293822_27
MSTRG.12705	1+0-	9.PRJNA322294_5
MSTRG.17743	1+0-	4. PRJNA281134_3
R3hcc1	0+1-	multi_mus_PRJNA398031_4
Specc1l	0+1-	4. PRJNA281134_3
MSTRG.7209	0+1-	multi_mus_PRJNA398031_4
Zmym5	1+0-	4. PRJNA281134_3
H2afy	0+1-	multi_mus_PRJNA398031_4
MSTRG.5199	0+1-	multi_mus_PRJNA398031_4
MSTRG.24268	0+1-	multi_mus_PRJNA398031_4
Setd2	0+1-	multi_mus_PRJNA398031_4
MSTRG.11447	1+0-	multi_mus_PRJNA398031_4
MSTRG.18782	0+1-	5. PRJNA322593 o PRJNA323485_9
MSTRG.5294	1+0-	multi_mus_PRJNA398031_4
MSTRG.9990	0+1-	multi_mus_PRJNA398031_4
Ogdhl	1+0-	multi_mus_PRJNA398031_4
MSTRG.23305	0+1-	multi_mus_PRJNA398031_4
MSTRG.9968	0+1-	multi_mus_PRJNA398031_4
MSTRG.13521	0+1-	multi_mus_PRJNA398031_4
MSTRG.12307	1+0-	multi_mus_PRJNA398031_4
Nedd9	0+1-	multi_mus_PRJNA398031_4
Urod	0+1-	multi_mus_PRJNA398031_4
MSTRG.25873	0+1-	multi_mus_PRJNA398031_4
MSTRG.13577	0+1-	multi_mus_PRJNA398031_4
MSTRG.1667	1+0-	multi_mus_PRJNA398031_4
Tcf3	0+1-	multi_mus_PRJNA398031_4
Polr2i	0+1-	multi_mus_PRJNA398031_4
MSTRG.25166	1+0-	multi_mus_PRJNA398031_4
MSTRG.11942	0+1-	multi_mus_PRJNA398031_4
MSTRG.24844	1+0-	multi_mus_PRJNA398031_4
MSTRG.19295	1+0-	multi_mus_PRJNA398031_4
MSTRG.24577	0+1-	multi_mus_PRJNA398031_4
Eps15	1+0-	9.PRJNA322294_5
Mtm1	1+0-	multi_mus_PRJNA398031_4
Mtif3	1+0-	multi_mus_PRJNA398031_4
MSTRG.22304	1+0-	multi_mus_PRJNA398031_4
Stard3nl	0+1-	multi_mus_PRJNA398031_4
MSTRG.18497	0+1-	multi_mus_PRJNA398031_4
Prr18	0+1-	multi_mus_PRJNA398031_4
Ppp1r14a	0+1-	multi_mus_PRJNA398031_4
Ptpdc1	1+0-	4. PRJNA281134_3
D5Ertd579e	0+1-	5. PRJNA322593 o PRJNA323485_9
